Year,Month,Flood,Area
1998,7,1,LALBEGHIAGHAT
2002,7,1,LALBEGHIAGHAT
2003,7,1,LALBEGHIAGHAT
2004,7,1,LALBEGHIAGHAT
1998,8,1,LALBEGHIAGHAT
2001,8,1,LALBEGHIAGHAT
2005,8,1,LALBEGHIAGHAT
1994,9,1,LALBEGHIAGHAT
2001,9,1,LALBEGHIAGHAT
2005,9,1,LALBEGHIAGHAT
1993,7,1,SIKANDERPUR
1998,7,1,SIKANDERPUR
2002,7,1,SIKANDERPUR
2003,7,1,SIKANDERPUR
2004,7,1,SIKANDERPUR
1993,8,1,SIKANDERPUR
1998,8,1,SIKANDERPUR
1999,8,1,SIKANDERPUR
2001,8,1,SIKANDERPUR
2002,8,1,SIKANDERPUR
2003,8,1,SIKANDERPUR
2005,8,1,SIKANDERPUR
1994,9,1,SIKANDERPUR
1998,9,1,SIKANDERPUR
1999,9,1,SIKANDERPUR
2001,9,1,SIKANDERPUR
2005,9,1,SIKANDERPUR
1993,7,1,SAMASTIPUR
1996,7,1,SAMASTIPUR
2002,7,1,SAMASTIPUR
2003,7,1,SAMASTIPUR
1998,7,1,SAMASTIPUR
1999,7,1,SAMASTIPUR
2004,7,1,SAMASTIPUR
1993,8,1,SAMASTIPUR
1995,8,1,SAMASTIPUR
1996,8,1,SAMASTIPUR
1998,8,1,SAMASTIPUR
1999,8,1,SAMASTIPUR
2001,8,1,SAMASTIPUR
2002,8,1,SAMASTIPUR
2003,8,1,SAMASTIPUR
2004,8,1,SAMASTIPUR
2005,8,1,SAMASTIPUR
1993,9,1,SAMASTIPUR
1994,9,1,SAMASTIPUR
1996,9,1,SAMASTIPUR
1998,9,1,SAMASTIPUR
1999,9,1,SAMASTIPUR
2001,9,1,SAMASTIPUR
2003,9,1,SAMASTIPUR
2005,9,1,SAMASTIPUR
2001,10,1,SAMASTIPUR
1993,7,1,ROSERA
1996,7,1,ROSERA
1998,7,1,ROSERA
1999,7,1,ROSERA
2002,7,1,ROSERA
2003,7,1,ROSERA
2004,7,1,ROSERA
2006,7,1,ROSERA
1991,8,1,ROSERA
1994,8,1,ROSERA
1996,8,1,ROSERA
1998,8,1,ROSERA
1999,8,1,ROSERA
2001,8,1,ROSERA
2003,8,1,ROSERA
2005,8,1,ROSERA
2006,8,1,ROSERA
1993,9,1,ROSERA
1994,9,1,ROSERA
1998,9,1,ROSERA
1999,9,1,ROSERA
2001,9,1,ROSERA
2003,9,1,ROSERA
2005,9,1,ROSERA
1994,10,1,ROSERA
2001,10,1,ROSERA
2000,7,1,KHAGARIA
2001,7,1,KHAGARIA
1991,8,1,KHAGARIA
1994,8,1,KHAGARIA
1996,8,1,KHAGARIA
1998,8,1,KHAGARIA
1999,8,1,KHAGARIA
2001,8,1,KHAGARIA
2003,8,1,KHAGARIA
2005,8,1,KHAGARIA
2006,8,1,KHAGARIA
1991,9,1,KHAGARIA
1992,9,1,KHAGARIA
1993,9,1,KHAGARIA
1994,9,1,KHAGARIA
1995,9,1,KHAGARIA
1996,9,1,KHAGARIA
1998,9,1,KHAGARIA
1999,9,1,KHAGARIA
2001,9,1,KHAGARIA
2003,9,1,KHAGARIA
2005,9,1,KHAGARIA
2003,10,1,KHAGARIA
